"GEO_ID","NAME","B01002_001E","B01002_001M","B01002_002E","B01002_002M","B01002_003E","B01002_003M"
"id","Geographic Area Name","Estimate!!Median age --!!Total:","Margin of Error!!Median age --!!Total:","Estimate!!Median age --!!Male","Margin of Error!!Median age --!!Male","Estimate!!Median age --!!Female","Margin of Error!!Median age --!!Female"
"1400000US53033000800","Census Tract 8, King County, Washington","41.5","3.0","40.1","5.5","43.0","2.5"
"1400000US53033000900","Census Tract 9, King County, Washington","52.2","3.8","52.1","4.9","52.4","5.5"
"1400000US53033001000","Census Tract 10, King County, Washington","38.8","2.4","38.5","2.9","39.1","3.1"
"1400000US53033001100","Census Tract 11, King County, Washington","42.1","2.0","43.3","4.0","40.7","3.9"
"1400000US53033001200","Census Tract 12, King County, Washington","34.7","1.4","34.6","1.4","34.9","6.8"
"1400000US53033001300","Census Tract 13, King County, Washington","35.6","2.2","35.3","2.5","36.0","3.0"
"1400000US53033001400","Census Tract 14, King County, Washington","35.2","4.5","35.0","4.6","36.5","6.1"
"1400000US53033001500","Census Tract 15, King County, Washington","45.1","2.5","44.6","3.1","45.6","3.5"
"1400000US53033001600","Census Tract 16, King County, Washington","42.4","2.0","42.4","3.3","42.4","2.5"
"1400000US53033001701","Census Tract 17.01, King County, Washington","33.5","2.6","34.7","4.7","32.2","3.4"
"1400000US53033001702","Census Tract 17.02, King County, Washington","37.4","1.2","37.5","1.7","37.2","2.8"
"1400000US53033001800","Census Tract 18, King County, Washington","32.8","1.1","32.4","1.9","33.1","0.9"
"1400000US53033001900","Census Tract 19, King County, Washington","34.1","2.5","33.3","2.8","35.0","2.8"
"1400000US53033002000","Census Tract 20, King County, Washington","38.3","5.2","40.6","6.5","36.9","5.0"
"1400000US53033002100","Census Tract 21, King County, Washington","36.1","1.6","33.6","3.1","38.5","2.5"
"1400000US53033002200","Census Tract 22, King County, Washington","42.0","2.9","40.3","3.3","45.1","4.1"
"1400000US53033002400","Census Tract 24, King County, Washington","40.9","2.9","39.3","6.6","41.4","2.5"
"1400000US53033002500","Census Tract 25, King County, Washington","37.9","3.6","38.0","4.7","37.5","6.5"
"1400000US53033002600","Census Tract 26, King County, Washington","35.6","3.5","34.5","4.1","37.7","3.4"
"1400000US53033002700","Census Tract 27, King County, Washington","35.4","2.5","38.2","5.1","33.5","4.4"
"1400000US53033002800","Census Tract 28, King County, Washington","36.9","2.4","34.5","3.8","38.1","2.5"
"1400000US53033002900","Census Tract 29, King County, Washington","39.8","3.2","37.1","4.2","42.3","1.5"
"1400000US53033003000","Census Tract 30, King County, Washington","38.1","2.0","37.7","1.7","39.3","3.4"
"1400000US53033003100","Census Tract 31, King County, Washington","41.5","1.9","40.1","3.0","42.5","1.5"
"1400000US53033003200","Census Tract 32, King County, Washington","36.8","3.3","42.1","3.2","35.7","2.1"
"1400000US53033003300","Census Tract 33, King County, Washington","34.9","2.0","35.1","3.0","34.8","1.9"
"1400000US53033003400","Census Tract 34, King County, Washington","36.3","2.6","33.9","2.1","38.1","2.8"
"1400000US53033003500","Census Tract 35, King County, Washington","39.5","1.3","38.4","2.2","40.5","3.0"
"1400000US53033003600","Census Tract 36, King County, Washington","31.8","0.8","32.6","1.0","30.9","1.0"
"1400000US53033003800","Census Tract 38, King County, Washington","34.9","3.4","35.2","3.5","33.6","5.3"
"1400000US53033003900","Census Tract 39, King County, Washington","41.5","3.2","41.1","7.6","41.8","3.8"
"1400000US53033004000","Census Tract 40, King County, Washington","37.2","4.0","42.3","4.1","35.1","8.2"
"1400000US53033004100","Census Tract 41, King County, Washington","39.1","3.2","37.8","5.6","41.2","2.7"
"1400000US53033004200","Census Tract 42, King County, Washington","41.7","1.3","41.3","2.0","42.3","2.1"
"1400000US53033004301","Census Tract 43.01, King County, Washington","29.9","4.0","33.1","6.0","27.8","5.6"
"1400000US53033004302","Census Tract 43.02, King County, Washington","22.0","0.5","21.8","0.4","22.6","1.4"
"1400000US53033004400","Census Tract 44, King County, Washington","25.1","1.5","26.0","1.5","23.8","1.8"
"1400000US53033004500","Census Tract 45, King County, Washington","28.7","2.5","28.4","2.5","29.7","3.5"
"1400000US53033004600","Census Tract 46, King County, Washington","37.7","2.2","38.7","3.6","36.5","4.2"
"1400000US53033004700","Census Tract 47, King County, Washington","34.0","1.0","33.5","1.0","35.0","1.9"
"1400000US53033004800","Census Tract 48, King County, Washington","33.7","1.4","33.4","1.4","34.1","1.8"
"1400000US53033004900","Census Tract 49, King County, Washington","30.6","0.7","30.4","1.1","30.7","1.7"
"1400000US53033005000","Census Tract 50, King County, Washington","30.2","1.7","30.8","2.0","29.5","2.6"
"1400000US53033005100","Census Tract 51, King County, Washington","38.3","1.5","38.4","1.9","38.0","2.6"
"1400000US53033005200","Census Tract 52, King County, Washington","24.5","1.7","24.0","2.1","25.8","2.8"
"1400000US53033005301","Census Tract 53.01, King County, Washington","21.9","0.5","22.0","0.7","21.8","0.8"
"1400000US53033005302","Census Tract 53.02, King County, Washington","19.4","0.2","19.5","0.2","19.3","0.3"
"1400000US53033005400","Census Tract 54, King County, Washington","31.8","1.3","33.6","2.3","31.0","1.2"
"1400000US53033005600","Census Tract 56, King County, Washington","47.2","1.6","47.4","1.8","47.0","2.4"
"1400000US53033005700","Census Tract 57, King County, Washington","41.2","3.0","41.5","3.1","39.8","3.7"
"1400000US53033005801","Census Tract 58.01, King County, Washington","33.6","2.3","32.4","1.4","36.0","3.4"
"1400000US53033005802","Census Tract 58.02, King County, Washington","33.7","1.0","33.6","1.9","33.7","1.1"
"1400000US53033005900","Census Tract 59, King County, Washington","28.0","2.1","28.9","3.1","26.8","3.4"
"1400000US53033006000","Census Tract 60, King County, Washington","34.0","2.3","34.7","2.9","32.9","3.4"
"1400000US53033006100","Census Tract 61, King County, Washington","35.4","3.7","34.7","5.2","36.2","3.7"
"1400000US53033006200","Census Tract 62, King County, Washington","41.1","1.6","41.9","3.2","40.6","2.2"
"1400000US53033006300","Census Tract 63, King County, Washington","45.4","4.8","45.6","5.8","45.2","5.6"
"1400000US53033006400","Census Tract 64, King County, Washington","36.5","3.0","39.2","3.6","34.0","4.5"
"1400000US53033006500","Census Tract 65, King County, Washington","37.7","2.4","37.6","2.6","37.9","5.4"
"1400000US53033006600","Census Tract 66, King County, Washington","30.1","0.8","29.7","0.9","30.5","0.9"
"1400000US53033006700","Census Tract 67, King County, Washington","30.3","1.7","29.8","1.6","31.2","2.1"
"1400000US53033006800","Census Tract 68, King County, Washington","37.2","3.6","35.0","4.0","38.5","3.1"
"1400000US53033006900","Census Tract 69, King County, Washington","38.4","3.0","38.5","3.9","38.3","3.1"
"1400000US53033007000","Census Tract 70, King County, Washington","35.9","2.7","39.7","6.6","35.1","1.6"
"1400000US53033007100","Census Tract 71, King County, Washington","31.4","1.2","31.8","2.4","31.1","1.7"
"1400000US53033007200","Census Tract 72, King County, Washington","30.6","1.6","31.7","1.9","29.6","1.3"
"1400000US53033007300","Census Tract 73, King County, Washington","32.4","2.4","32.8","3.4","31.5","3.2"
"1400000US53033007401","Census Tract 74.01, King County, Washington","32.7","1.1","33.4","1.1","31.3","1.8"
"1400000US53033007402","Census Tract 74.02, King County, Washington","30.7","1.8","31.8","1.8","29.2","1.9"
"1400000US53033007500","Census Tract 75, King County, Washington","31.2","1.2","31.2","1.5","31.1","2.4"
"1400000US53033007600","Census Tract 76, King County, Washington","33.5","2.3","33.4","2.8","33.9","4.0"
"1400000US53033007700","Census Tract 77, King County, Washington","34.4","1.8","34.7","2.4","34.0","3.2"
"1400000US53033007800","Census Tract 78, King County, Washington","42.3","2.6","41.0","3.3","43.5","4.3"
"1400000US53033007900","Census Tract 79, King County, Washington","33.4","2.1","32.6","1.4","35.0","3.2"
"1400000US53033008001","Census Tract 80.01, King County, Washington","35.2","1.7","33.4","1.9","37.1","2.5"
"1400000US53033008002","Census Tract 80.02, King County, Washington","39.2","4.4","39.7","5.0","38.3","6.7"
"1400000US53033008100","Census Tract 81, King County, Washington","43.2","3.8","41.8","2.9","46.3","6.6"
"1400000US53033008200","Census Tract 82, King County, Washington","35.0","2.6","34.8","3.1","35.7","4.7"
"1400000US53033008300","Census Tract 83, King County, Washington","36.8","2.7","35.0","3.9","40.0","5.7"
"1400000US53033008400","Census Tract 84, King County, Washington","31.8","0.9","31.7","1.3","32.0","1.5"
"1400000US53033008500","Census Tract 85, King County, Washington","37.4","3.2","34.6","1.8","46.7","8.3"
"1400000US53033008600","Census Tract 86, King County, Washington","23.8","1.9","25.9","2.1","22.4","1.6"
"1400000US53033008700","Census Tract 87, King County, Washington","32.3","1.2","31.8","2.4","33.9","3.3"
"1400000US53033008800","Census Tract 88, King County, Washington","34.3","1.3","35.2","1.4","33.0","1.6"
"1400000US53033008900","Census Tract 89, King County, Washington","36.9","3.1","34.7","3.5","38.2","3.4"
"1400000US53033009000","Census Tract 90, King County, Washington","37.9","3.0","39.7","5.1","35.5","5.1"
"1400000US53033009100","Census Tract 91, King County, Washington","48.6","9.7","42.9","4.7","57.5","9.2"
"1400000US53033009200","Census Tract 92, King County, Washington","45.3","5.2","47.5","4.2","40.0","9.3"
"1400000US53033009300","Census Tract 93, King County, Washington","39.4","5.0","38.9","4.7","42.6","8.4"
"1400000US53033009400","Census Tract 94, King County, Washington","35.3","1.4","34.2","1.9","36.6","1.7"
"1400000US53033009500","Census Tract 95, King County, Washington","41.9","2.7","42.6","3.8","41.0","2.9"
"1400000US53033009600","Census Tract 96, King County, Washington","49.1","1.8","49.4","2.7","47.7","6.2"
"1400000US53033009701","Census Tract 97.01, King County, Washington","45.6","1.3","45.1","1.8","46.2","1.9"
"1400000US53033009702","Census Tract 97.02, King County, Washington","41.7","3.1","40.4","3.4","42.8","3.1"
"1400000US53033009800","Census Tract 98, King County, Washington","40.6","1.5","40.2","1.4","42.0","3.3"
"1400000US53033009900","Census Tract 99, King County, Washington","39.6","4.2","41.0","2.7","35.9","5.5"
"1400000US53033010001","Census Tract 100.01, King County, Washington","35.2","2.7","29.9","3.8","38.3","4.5"
"1400000US53033010002","Census Tract 100.02, King County, Washington","37.2","3.5","36.5","5.9","37.4","2.8"
"1400000US53033010100","Census Tract 101, King County, Washington","36.7","2.7","36.0","2.4","38.5","4.1"
"1400000US53033010200","Census Tract 102, King County, Washington","42.9","2.0","41.5","3.1","44.1","2.7"
"1400000US53033010300","Census Tract 103, King County, Washington","35.1","2.4","34.0","3.5","35.5","2.0"
"1400000US53033010401","Census Tract 104.01, King County, Washington","44.3","3.8","43.4","6.6","45.7","7.7"
"1400000US53033010402","Census Tract 104.02, King County, Washington","37.8","4.0","36.2","3.3","39.8","4.4"
"1400000US53033010500","Census Tract 105, King County, Washington","39.7","3.6","37.9","5.2","40.8","4.5"
"1400000US53033010600","Census Tract 106, King County, Washington","42.4","1.9","42.0","2.7","43.0","2.5"
"1400000US53033010701","Census Tract 107.01, King County, Washington","34.3","3.0","35.4","3.4","33.0","4.1"
"1400000US53033010702","Census Tract 107.02, King County, Washington","30.6","1.7","23.4","5.1","32.9","3.0"
"1400000US53033010800","Census Tract 108, King County, Washington","37.7","1.2","38.4","2.1","36.7","2.1"
